yil,sinav,ders,soru_no,cevap
2023,TYT,Matematik,1,D
2023,TYT,Matematik,2,A
2023,TYT,Matematik,3,D
2023,TYT,Matematik,4,D
2023,TYT,Matematik,5,E
2023,TYT,Matematik,6,A
2023,TYT,Matematik,7,E
2023,TYT,Matematik,8,A
2023,TYT,Matematik,9,D
2023,TYT,Matematik,10,E
2023,TYT,Matematik,11,C
2023,TYT,Matematik,12,B
2023,TYT,Matematik,13,B
2023,TYT,Matematik,14,E
2023,TYT,Matematik,15,C
2023,TYT,Matematik,16,B
2023,TYT,Matematik,17,A
2023,TYT,Matematik,18,C
2023,TYT,Matematik,19,B
2023,TYT,Matematik,20,E
2023,TYT,Matematik,21,D
2023,TYT,Matematik,22,C
2023,TYT,Matematik,23,D
2023,TYT,Matematik,24,C
2023,TYT,Matematik,25,E
2023,TYT,Matematik,26,E
2023,TYT,Matematik,27,A
2023,TYT,Matematik,28,B
2023,TYT,Matematik,29,C
2023,TYT,Matematik,30,B
2023,TYT,Matematik,31,E
2023,TYT,Matematik,32,B
2023,TYT,Matematik,33,D
2023,TYT,Matematik,34,C
2023,TYT,Matematik,35,C
2023,TYT,Matematik,36,A
2023,TYT,Matematik,37,C
2023,TYT,Matematik,38,B
2023,TYT,Matematik,39,D
2023,TYT,Matematik,40,D
2023,TYT,Fen,1,A
2023,TYT,Fen,2,D
2023,TYT,Fen,3,B
2023,TYT,Fen,4,B
2023,TYT,Fen,5,A
2023,TYT,Fen,6,C
2023,TYT,Fen,7,C
2023,TYT,Fen,8,E
2023,TYT,Fen,9,B
2023,TYT,Fen,10,C
2023,TYT,Fen,11,A
2023,TYT,Fen,12,E
2023,TYT,Fen,13,A
2023,TYT,Fen,14,D
2023,TYT,Fen,15,D
2023,TYT,Fen,16,A
2023,TYT,Fen,17,E
2023,TYT,Fen,18,B
2023,TYT,Fen,19,E
2023,TYT,Fen,20,D
2023,TYT,Sosyal,1,E
2023,TYT,Sosyal,2,C
2023,TYT,Sosyal,3,A
2023,TYT,Sosyal,4,B
2023,TYT,Sosyal,5,D
2023,TYT,Sosyal,6,B
2023,TYT,Sosyal,7,A
2023,TYT,Sosyal,8,C
2023,TYT,Sosyal,9,E
2023,TYT,Sosyal,10,D
2023,TYT,Sosyal,11,B
2023,TYT,Sosyal,12,B
2023,TYT,Sosyal,13,B
2023,TYT,Sosyal,14,D
2023,TYT,Sosyal,15,C
2023,TYT,Sosyal,16,A
2023,TYT,Sosyal,17,B
2023,TYT,Sosyal,18,E
2023,TYT,Sosyal,19,C
2023,TYT,Sosyal,20,C
2023,TYT,Sosyal,21,D
2023,TYT,Sosyal,22,E
2023,TYT,Sosyal,23,B
2023,TYT,Sosyal,24,E
2023,TYT,Sosyal,25,D
2023,TYT,Türkçe,1,E
2023,TYT,Türkçe,2,A
2023,TYT,Türkçe,3,E
2023,TYT,Türkçe,4,D
2023,TYT,Türkçe,5,A
2023,TYT,Türkçe,6,D
2023,TYT,Türkçe,7,D
2023,TYT,Türkçe,8,B
2023,TYT,Türkçe,9,C
2023,TYT,Türkçe,10,C
2023,TYT,Türkçe,11,D
2023,TYT,Türkçe,12,C
2023,TYT,Türkçe,13,A
2023,TYT,Türkçe,14,C
2023,TYT,Türkçe,15,A
2023,TYT,Türkçe,16,E
2023,TYT,Türkçe,17,B
2023,TYT,Türkçe,18,D
2023,TYT,Türkçe,19,E
2023,TYT,Türkçe,20,C
2023,TYT,Türkçe,21,D
2023,TYT,Türkçe,22,E
2023,TYT,Türkçe,23,A
2023,TYT,Türkçe,24,E
2023,TYT,Türkçe,25,A
2023,TYT,Türkçe,26,B
2023,TYT,Türkçe,27,D
2023,TYT,Türkçe,28,C
2023,TYT,Türkçe,29,B
2023,TYT,Türkçe,30,A
2023,TYT,Türkçe,31,A
2023,TYT,Türkçe,32,C
2023,TYT,Türkçe,33,B
2023,TYT,Türkçe,34,B
2023,TYT,Türkçe,35,D
2023,TYT,Türkçe,36,B
2023,TYT,Türkçe,37,E
2023,TYT,Türkçe,38,D
2023,TYT,Türkçe,39,E
2023,TYT,Türkçe,40,B
