yil,sinav,ders,soru_no,cevap
2018,TYT,Sosyal,1,B
2018,TYT,Sosyal,2,C
2018,TYT,Sosyal,3,D
2018,TYT,Sosyal,4,C
2018,TYT,Sosyal,5,A
2018,TYT,Sosyal,6,C
2018,TYT,Sosyal,7,C
2018,TYT,Sosyal,8,A
2018,TYT,Sosyal,9,E
2018,TYT,Sosyal,10,B
2018,TYT,Sosyal,11,B
2018,TYT,Sosyal,12,D
2018,TYT,Sosyal,13,B
2018,TYT,Sosyal,14,E
2018,TYT,Sosyal,15,E
2018,TYT,Sosyal,16,A
2018,TYT,Sosyal,17,E
2018,TYT,Sosyal,18,D
2018,TYT,Sosyal,19,B
2018,TYT,Sosyal,20,D
2018,TYT,Sosyal,21,A
2018,TYT,Sosyal,22,A
2018,TYT,Sosyal,23,E
2018,TYT,Sosyal,24,C
2018,TYT,Sosyal,25,B
2018,TYT,Matematik,1,D
2018,TYT,Matematik,2,E
2018,TYT,Matematik,3,B
2018,TYT,Matematik,4,C
2018,TYT,Matematik,5,B
2018,TYT,Matematik,6,C
2018,TYT,Matematik,7,D
2018,TYT,Matematik,8,A
2018,TYT,Matematik,9,B
2018,TYT,Matematik,10,E
2018,TYT,Matematik,11,B
2018,TYT,Matematik,12,D
2018,TYT,Matematik,13,C
2018,TYT,Matematik,14,A
2018,TYT,Matematik,15,B
2018,TYT,Matematik,16,E
2018,TYT,Matematik,17,A
2018,TYT,Matematik,18,D
2018,TYT,Matematik,19,A
2018,TYT,Matematik,20,E
2018,TYT,Matematik,21,E
2018,TYT,Matematik,22,A
2018,TYT,Matematik,23,D
2018,TYT,Matematik,24,A
2018,TYT,Matematik,25,A
2018,TYT,Matematik,26,D
2018,TYT,Matematik,27,E
2018,TYT,Matematik,28,C
2018,TYT,Matematik,29,D
2018,TYT,Matematik,30,D
2018,TYT,Matematik,31,C
2018,TYT,Matematik,32,C
2018,TYT,Matematik,33,C
2018,TYT,Matematik,34,D
2018,TYT,Matematik,35,B
2018,TYT,Matematik,36,A
2018,TYT,Matematik,37,B
2018,TYT,Matematik,38,A
2018,TYT,Matematik,39,C
2018,TYT,Matematik,40,B
2018,TYT,Fen,1,E
2018,TYT,Fen,2,C
2018,TYT,Fen,3,A
2018,TYT,Fen,4,D
2018,TYT,Fen,5,D
2018,TYT,Fen,6,B
2018,TYT,Fen,7,E
2018,TYT,Fen,8,E
2018,TYT,Fen,9,C
2018,TYT,Fen,10,A
2018,TYT,Fen,11,D
2018,TYT,Fen,12,E
2018,TYT,Fen,13,A
2018,TYT,Fen,14,D
2018,TYT,Fen,15,C
2018,TYT,Fen,16,B
2018,TYT,Fen,17,E
2018,TYT,Fen,18,E
2018,TYT,Fen,19,D
2018,TYT,Fen,20,E
2018,TYT,Türkçe,1,E
2018,TYT,Türkçe,2,C
2018,TYT,Türkçe,3,E
2018,TYT,Türkçe,4,E
2018,TYT,Türkçe,5,B
2018,TYT,Türkçe,6,B
2018,TYT,Türkçe,7,E
2018,TYT,Türkçe,8,D
2018,TYT,Türkçe,9,C
2018,TYT,Türkçe,10,C
2018,TYT,Türkçe,11,D
2018,TYT,Türkçe,12,C
2018,TYT,Türkçe,13,B
2018,TYT,Türkçe,14,E
2018,TYT,Türkçe,15,D
2018,TYT,Türkçe,16,C
2018,TYT,Türkçe,17,D
2018,TYT,Türkçe,18,D
2018,TYT,Türkçe,19,B
2018,TYT,Türkçe,20,A
2018,TYT,Türkçe,21,A
2018,TYT,Türkçe,22,D
2018,TYT,Türkçe,23,A
2018,TYT,Türkçe,24,C
2018,TYT,Türkçe,25,A
2018,TYT,Türkçe,26,E
2018,TYT,Türkçe,27,E
2018,TYT,Türkçe,28,E
2018,TYT,Türkçe,29,D
2018,TYT,Türkçe,30,A
2018,TYT,Türkçe,31,E
2018,TYT,Türkçe,32,A
2018,TYT,Türkçe,33,C
2018,TYT,Türkçe,34,B
2018,TYT,Türkçe,35,D
2018,TYT,Türkçe,36,B
2018,TYT,Türkçe,37,C
2018,TYT,Türkçe,38,D
2018,TYT,Türkçe,39,B
2018,TYT,Türkçe,40,D
